price_juta,surface_area,building_area,bed,bath,carport,district,city,description,url
2480.0,192,135,4,3,1,Sleman,Sleman,"Beli Rumah, Dapatkan Bonus Satu Unit Lagi di Sleman Jogja",https://www.rumah123.com/properti/sleman/hos17165619/
2450.0,187,135,4,3,1,Gamping,Sleman,"Beli Rumah, Dapatkan Rumah Bonus Gratis di Sleman Jogja",https://www.rumah123.com/properti/sleman/hos17165614/
2650.0,213,135,4,3,1,Sleman,Sleman,"Beli Rumah, Dapatkan Bonus Satu Rumah Lagi di Sleman Jogja",https://www.rumah123.com/properti/sleman/hos17165612/
2430.0,192,135,4,3,1,Sleman,Sleman,"Beli Rumah Sekarang, Gratis Satu Unit Lagi di Sleman Jogja",https://www.rumah123.com/properti/sleman/hos17165604/
2490.0,200,135,4,3,1,Sleman,Sleman,Deal Istimewa Beli Rumah Gratis Satu Unit di Sleman Jogja,https://www.rumah123.com/properti/sleman/hos17165601/
1200.0,100,88,3,2,2,Mlati,Sleman,Rumah baru dalam cluster dekat Jombor,https://www.rumah123.com/properti/sleman/hos17165591/
900.0,120,84,4,2,1,Kalasan,Sleman,"Dijual Rumah Baru Mewah Di Purwomartani, Kalasan, Sleman",https://www.rumah123.com/properti/sleman/hos17165510/
2350.0,120,185,4,3,1,Depok,Sleman,Mewah baru desain Modern dekat Jogjabay,https://www.rumah123.com/properti/sleman/hos17165461/
1450.0,150,95,3,3,1,Condong Catur,Sleman,Dalam Perumahan Condongcatur Utara Kampus Upn Jogja,https://www.rumah123.com/properti/sleman/hos15830839/
450.0,97,45,2,1,2,Plered,Bantul,Rumah Dekat Kotagede di Pleret Bantul Proses Bangun,https://www.rumah123.com/properti/bantul/hos16025946/
845.0,60,65,2,2,2,Umbulharjo,Yogyakarta,Dijual Rumah 2 Lantai Di Wirosaban Dekat Kampus Uad Pusat Rsud,https://www.rumah123.com/properti/yogyakarta/hos16384360/
1800.0,134,90,3,2,2,Mlati,Sleman,Rumah Dalam Perumahan Grand Tlogoadi,https://www.rumah123.com/properti/sleman/hos17165416/
3500.0,288,400,4,5,1,Mlati,Sleman,"Dijual Rumah Mewah Pogung, Belakang Kampus Ugm Jogja",https://www.rumah123.com/properti/sleman/hos14697093/
299.0,60,30,2,1,1,Gamping,Sleman,Rumah Murah Di Jogja Bisa Kpr Tanpa Bank Dp Ringan Dekat Umy,https://www.rumah123.com/properti/sleman/hos16162903/
1380.0,107,100,3,2,1,Berbah,Sleman,Dijual Rumah Berbah Jogja Ada Jacuzzi Dekat Ambarrukmo,https://www.rumah123.com/properti/sleman/hos15786924/
1200.0,128,250,4,5,1,Sleman,Yogyakarta,"Rumah Dijual Wedomartani Jogja, Siap Huni Dekat Jogja Bay",https://www.rumah123.com/properti/yogyakarta/hos15689498/
750.0,60,120,7,2,1,Condong Catur,Sleman,DIJUAL KOSAN FULL PENGHUNI di Jl. Angga Jaya 2 Concat Lantai SHM,https://www.rumah123.com/properti/sleman/hos14713960/
750.0,166,36,2,1,2,Depok,Sleman,CANTIK MINIMALIS HALAMAN LUAS MAGUWOHARJO,https://www.rumah123.com/properti/sleman/hos17165135/
1650.0,200,135,3,3,1,Maguwoharjo,Yogyakarta,"Rumah Tajem Maguwo, Dekat Lotte Mart Jogja",https://www.rumah123.com/properti/yogyakarta/hos17165122/
900.0,140,80,3,2,1,Kalasan,Sleman,AKSES JOOS!! TANAH PEKARANGAN MANGKU ASPAL atu RUMAH SIAP BANGUN,https://www.rumah123.com/properti/sleman/hos17165068/
499.0,120,36,2,1,1,Mlati,Sleman,Rumah Moderen Dilokasi Nyaman Dekat Ibarbo Park Sleman,https://www.rumah123.com/properti/sleman/hos17165105/
1600.0,118,140,4,3,2,Ngaglik,Sleman,Rumah cluster dekat Hotel Hyatt Palagan,https://www.rumah123.com/properti/sleman/hos17165072/
1450.0,100,85,3,2,1,Ngemplak,Sleman,Rumah Cantik Full Furnished Harga Terjangakau Di Sleman Jogja,https://www.rumah123.com/properti/sleman/hos17165069/
1500.0,204,100,4,3,2,Umbulharjo,Yogyakarta,Rumah dalam Perumahan dekat Giwangan,https://www.rumah123.com/properti/yogyakarta/hos17164975/
1850.0,116,115,3,2,2,Ngemplak,Sleman,Rumah Terbaru Full Furnish Dekat Stadion Maguwo Jogja,https://www.rumah123.com/properti/sleman/hos17164955/
1600.0,126,130,4,4,2,Depok,Sleman,Rumah Baru samping  jogjabay waterpark,https://www.rumah123.com/properti/sleman/hos17164910/
2500.0,352,168,3,3,1,Kasihan,Bantul,RUMAH GEBYOK BATU BATA EXPOSE DI BANGUNJIWO YOGYA,https://www.rumah123.com/properti/bantul/hos17164870/
2500.0,352,168,3,3,1,Kasihan,Bantul,RUMAH GEBYOK BATU BATA EXPOSE DI BANGUNJIWO YOGYA,https://www.rumah123.com/properti/bantul/hos17164867/
1670.0,162,120,4,2,2,Depok,Sleman,Rumah Kontemporer Wedomartani Maguwoharjo,https://www.rumah123.com/properti/sleman/hos17164838/
4900.0,309,100,4,4,1,Condong Catur,Sleman,Rumah Mewah Dalam Perumahan Mbs Condongcatur Depok Sleman,https://www.rumah123.com/properti/sleman/hos17164791/
2360.0,182,135,4,3,1,Sleman,Sleman,"Beli Rumah Sekarang, Dapatkan Bonus Rumah di Sleman Jogja",https://www.rumah123.com/properti/sleman/hos17164777/
2460.0,196,135,4,3,1,Sleman,Sleman,Promo Beli Rumah Gratis Satu Unit di Sleman Jogja,https://www.rumah123.com/properti/sleman/hos17164776/
2430.0,192,135,4,3,1,Gamping,Sleman,"Beli Rumah, Dapatkan 1 Rumah Lagi di Sleman Jogja",https://www.rumah123.com/properti/sleman/hos17164774/
2400.0,187,136,4,3,1,Sleman,Sleman,"Hemat Besar Beli Rumah, Gratis Rumah Lainnya di Sleman Jogja",https://www.rumah123.com/properti/sleman/hos17164773/
1590.0,90,115,3,3,1,Ngaglik,Sleman,"Rumah Baru Modern Furnish Jakal Km.7,5",https://www.rumah123.com/properti/sleman/hos17164764/
576.0,144,80,3,2,1,Ngemplak,Sleman,Timur Uii Kaliurang Kavling SHM Siap Bangun,https://www.rumah123.com/properti/sleman/hos14679971/
2540.0,200,135,4,3,1,Sleman,Sleman,"Beli Satu Rumah, Dapatkan Yang Lain Gratis di Sleman Jogja",https://www.rumah123.com/properti/sleman/hos17164684/
300.0,52,95,1,1,1,Kasihan,Bantul,"rumah/Ruko belakang Kampus terpadu UMY, Yogya",https://www.rumah123.com/properti/bantul/hos17163082/
995.0,109,75,3,2,1,Depok,Sleman,Rumah baru dekat Ambarukmo Plasa,https://www.rumah123.com/properti/sleman/hos17164617/
410.0,112,60,2,1,1,Kalasan,Sleman,"Rumah Murah di Perum Griya Purwo Asri, Purwomartani, Lokasi Bagus, .",https://www.rumah123.com/properti/sleman/hos17161043/
245.0,75,36,2,1,1,Prambanan,Sleman,Rumah Murah Siap Huni 200jt an Tipe 36 75 Di Prambanan,https://www.rumah123.com/properti/sleman/hos17164410/
1790.0,113,175,4,3,1,Purwomartani,Sleman,Jual Rumah Proses Bangun Purwomartani Design Kontemporer,https://www.rumah123.com/properti/sleman/hos17164364/
399.0,100,45,2,1,1,Minggir,Sleman,Rumah Mewah Murah di Jl Godean KM 15 dekat Pasar Ngijon Siap Bangun,https://www.rumah123.com/properti/sleman/hos8497162/
550.0,101,55,3,2,1,Mlati,Sleman,RUMAH SIAP HUNI di Jl. SIDOMOYO KM 1 MLATI SLEMAN SHM Baru,https://www.rumah123.com/properti/sleman/hos14835047/
2400.0,121,140,3,2,1,Gondokusuman,Yogyakarta,Rumah Perumahan Furnished SHM Tengah Kota Jogja Dekat Balai Kota,https://www.rumah123.com/properti/yogyakarta/hos17161156/
410.0,80,42,2,1,1,Bantul,Bantul,Rumah Dekat Kantor Bupati di Ringinharjo Bantul Kota Siap Huni,https://www.rumah123.com/properti/bantul/hos15406223/
2900.0,140,115,3,3,2,Ngaglik,Sleman,Rumah Mewah 2lantai Pinggir Jalan Jogja Dekat Kampus Ugm,https://www.rumah123.com/properti/sleman/hos16213992/
650.0,90,150,4,2,1,Kotagede,Yogyakarta,Rumah dalam perum BMW Wirokerten,https://www.rumah123.com/properti/yogyakarta/hos17164233/
775.0,132,90,2,1,1,Sleman,Yogyakarta,"Rumah 2 Lantai Siap Huni Dalam Perumahan di Palagan, Sleman",https://www.rumah123.com/properti/yogyakarta/hos17163922/
1000.0,131,115,6,6,2,Ngaglik,Sleman,KOST EKSLUSIF BELAKANG KAMPUS PUSAT UII,https://www.rumah123.com/properti/sleman/hos17164105/
999.0,103,100,3,3,1,Ngemplak,Sleman,Rumah Luas Konsep 2 Lantai Di Utara Stadion Maguwoharjo,https://www.rumah123.com/properti/sleman/hos17164062/
695.0,100,65,2,2,1,Pogung,Yogyakarta,"Utara Ugm, Rumah Cantik Kokoh Dekat Jogja Kota",https://www.rumah123.com/properti/yogyakarta/hos16964336/
675.0,85,45,2,1,1,Bantul,Bantul,"Rumah Modern Dekat Jogja Kota,gedong Kuning,janti,jec,babarsari",https://www.rumah123.com/properti/bantul/hos17163984/
725.0,114,71,3,2,2,Cebongan,Sleman,Rumah Baru Dekat Puskesmas Cebongan Sleman,https://www.rumah123.com/properti/sleman/hos17163949/
815.0,75,50,2,2,1,Umbulharjo,Yogyakarta,Rumah 2 Lantai Di Wirosaban Kota Jogja Dekat Kampus Uad Rs Ud,https://www.rumah123.com/properti/yogyakarta/hos16211891/
455.0,83,45,2,1,1,Sedayu,Bantul,Rumah Dekat Rs Pku Gamping di Jl Wates Km 9 Sedayu Siap Huni,https://www.rumah123.com/properti/bantul/hos14732633/
1300.0,126,80,3,1,2,Mlati,Sleman,Rumah dalam Perum Dekat mall JCM,https://www.rumah123.com/properti/sleman/hos17163926/
690.0,76,60,3,2,2,Bantul,Bantul,"Rumah Bantul,dekat Jogja Kota,giwangan,kotagede,uad,bisa Kpr",https://www.rumah123.com/properti/bantul/hos17163913/
2430.0,192,135,4,3,1,Sleman,Sleman,Promo Beli Rumah Gratis 1 Rumah Sleman Jogja,https://www.rumah123.com/properti/sleman/hos17138306/
575.0,98,115,3,2,1,Kalasan,Sleman,Rumah Tingkat Baru Di Purwomartani Dekat Pamela 7,https://www.rumah123.com/properti/sleman/hos17163865/
1850.0,126,115,3,2,1,Depok,Sleman,Rumah Baru dekat Jogja Bay Maguwoharjo,https://www.rumah123.com/properti/sleman/hos17163849/
580.0,90,65,3,2,1,Sleman,Yogyakarta,Rumah Baru cantik timur polres dan BPJS Sleman  yogyakarta,https://www.rumah123.com/properti/yogyakarta/hos17145144/
3100.0,225,300,7,4,2,Mlati,Sleman,Rumah Jogja Dijual Dekat Jogja City Mall,https://www.rumah123.com/properti/sleman/hos17163801/
750.0,166,36,2,1,1,Depok,Sleman,Rumah Baru dekat SD Model Maguwoharjo,https://www.rumah123.com/properti/sleman/hos17163758/
799.0,111,60,3,2,1,Mlati,Sleman,"1 Unit, Rumah Siap Huni Dekat Sleman City Hall Di Mlati",https://www.rumah123.com/properti/sleman/hos17163711/
799.0,75,50,3,2,2,Umbulharjo,Yogyakarta,Rumah 2 Lantai Di Kota Jogja Umbulharjo Dekat Kampus Uty Uad,https://www.rumah123.com/properti/yogyakarta/hos16210234/
950.0,90,62,4,4,1,Depok,Sleman,Kost Asri Investasi Tepat Untuk Passive Income Dekat Blok O SHM,https://www.rumah123.com/properti/sleman/hos17163635/
800.0,101,60,3,2,1,Bantul,Yogyakarta,"8 Menit Dari Ringroad Jogja, Desain Bebas Sesukamu",https://www.rumah123.com/properti/yogyakarta/hos16077119/
392.0,80,36,2,1,1,Sayegan,Sleman,Hunian Modern Legalitas Aman Dekat Rsud Sleman Dengan Akses Mudah,https://www.rumah123.com/properti/sleman/hos17163488/
1450.0,110,129,3,3,1,Danurejan,Yogyakarta,"Rumah Dijual di Yogyakarta, Dekat Bandara Adisutjipto",https://www.rumah123.com/properti/yogyakarta/hos17163474/
1300.0,236,180,10,6,3,Gamping,Sleman,RUMAH + KOST FULL DEKAT KAMPUS UMY,https://www.rumah123.com/properti/sleman/hos17163398/
235.0,73,30,2,1,1,Depok,Sleman,Rumah Baru American Style Dan Strategis Diutara Candi Prambanan,https://www.rumah123.com/properti/sleman/hos17163345/
1880.0,121,80,3,3,1,Mlati,Sleman,Dijual Rumah Mewah Paling Murah Di Jombor Sleman,https://www.rumah123.com/properti/sleman/hos17163297/
2660.0,153,160,3,3,2,Mlati,Sleman,Rumah Baru dlm perumahan Jalan damai,https://www.rumah123.com/properti/sleman/hos17163215/
320.0,94,36,2,1,1,Ngaglik,Sleman,Promo Rumah Murah Siap Bangun Yang Banyak Bonusnya,https://www.rumah123.com/properti/sleman/hos17163171/
1650.0,125,140,4,3,2,Ngaglik,Sleman,Rumah dalam perumahan Merapi Regency,https://www.rumah123.com/properti/sleman/hos17163127/
1990.0,172,100,3,3,1,Sleman,Yogyakarta,"Rumah di Cluster, Sleman Yogyakarta",https://www.rumah123.com/properti/yogyakarta/hos16629118/
1800.0,95,150,3,3,2,Ngaglik,Sleman,RUMAH BARU DEKAT FILOSOPI KOPI PALAGAN,https://www.rumah123.com/properti/sleman/hos17163042/
550.0,116,60,3,1,1,Kalasan,Sleman,Hunian Minimalis Harga Terjangkau Strategis Purwomartani,https://www.rumah123.com/properti/sleman/hos17163005/
1700.0,151,120,3,4,1,Ngaglik,Sleman,RUMAH DEKAT UGM PERUMAHAN JAKAL KM 6,https://www.rumah123.com/properti/sleman/hos17162943/
1100.0,138,100,3,2,1,Ngaglik,Sleman,Rumah Baru Jakal Km 8 Dekat UGM,https://www.rumah123.com/properti/sleman/hos17162842/
2200.0,114,150,5,4,2,Ngaglik,Sleman,Rumah baru Jl Plemburan dekat Ugm,https://www.rumah123.com/properti/sleman/hos17162771/
750.0,130,60,3,2,2,Sleman,Sleman,Rumah Konsep Smarthome Ada Furnish Dekat Polres Sleman,https://www.rumah123.com/properti/sleman/hos17162716/
237.0,60,28,2,1,1,Kalasan,Sleman,4 Unit Terakhir Rumah Modern Minimalis 200 Jt An Idaman Milenial,https://www.rumah123.com/properti/sleman/hos17162714/
750.0,130,60,3,2,2,Sleman,Sleman,Hunian Konsep Smarthome Ada Furnish Dekat Polres Sleman,https://www.rumah123.com/properti/sleman/hos17162682/
1650.0,125,140,4,3,2,Ngaglik,Sleman,Rumah baru dalam perumahan merapi regency,https://www.rumah123.com/properti/sleman/hos17162681/
1520.0,99,150,4,2,1,Ngaglik,Sleman,Rumah Modern 2 Lantai Siap Huni di Sleman Dekat Jogja Bay,https://www.rumah123.com/properti/sleman/hos17160947/
350.0,104,50,2,1,1,Godean,Sleman,"Stok Menipis, Rumah Siap Huni 350 Juta Di Jogja Barat Lingkungan Asri",https://www.rumah123.com/properti/sleman/hos17162627/
850.0,114,110,3,2,1,Ngaglik,Sleman,Rumah Umbul Permai palagan,https://www.rumah123.com/properti/sleman/hos17162590/
2950.0,213,185,4,3,1,Wirobrajan,Yogyakarta,"Rumah Siap Huni Bergaya Klasik Modern, Di Tengah Kota Yogyakarta",https://www.rumah123.com/properti/yogyakarta/hos17162569/
895.0,91,76,3,2,2,Kotagede,Yogyakarta,Rumah Baru Jalan Imogiri Timur Tamanan,https://www.rumah123.com/properti/yogyakarta/hos17162497/
2500.0,352,168,3,3,1,Kasihan,Bantul,"RUMAH ESTETIK, HOMESTAY, VILLA SELATAN KAMPUS UMY",https://www.rumah123.com/properti/bantul/hos17162487/
1200.0,115,100,3,2,1,Umbulharjo,Yogyakarta,Rumah siap huni dlm Perumahan Timoho AsrI,https://www.rumah123.com/properti/yogyakarta/hos17162195/
1270.0,130,100,3,2,1,Depok,Sleman,Rumah Cantik Seturan dekat banyak Kampus,https://www.rumah123.com/properti/sleman/hos17161922/
675.0,85,45,2,1,1,Banguntapan,Bantul,Rumah Murah di Banguntapan Bisa Kpr 10 Menit Dari Pusat Kota SHM,https://www.rumah123.com/properti/bantul/hos17161874/
817.0,103,76,2,2,1,Gamping,Sleman,Rumah 2 Lt Termurah Di Balecatur Dekat Smpn 1 Gamping,https://www.rumah123.com/properti/sleman/hos17161849/
817.0,103,76,2,2,1,Gamping,Sleman,"Rumah 2 Lt Termurah Siap Kpr Di Balecatur, Gamping",https://www.rumah123.com/properti/sleman/hos17161796/
470.0,147,70,3,3,1,Gondokusuman,Yogyakarta,"Tanah Jogja Siap Ajb, Dekat Mirota Kampus Godean",https://www.rumah123.com/properti/yogyakarta/hos17003227/
765.0,101,60,2,1,1,Umbulharjo,Yogyakarta,Rumah modern 2 Lantai Bangunjiwo,https://www.rumah123.com/properti/yogyakarta/hos17161762/
675.0,84,50,2,1,1,Kalasan,Sleman,"BU Banget!!! Dijual Rugi, Baru Belom pernah dihuni",https://www.rumah123.com/properti/sleman/hos17161727/
2200.0,150,235,4,4,2,Ngaglik,Sleman,Rumah Baru modern utara Monjali,https://www.rumah123.com/properti/sleman/hos17161719/
725.0,100,70,3,2,1,Maguwoharjo,Yogyakarta,Rumah Cantik Dekat Lottemart Maguwoharjo Depok Sleman Yogyakarta,https://www.rumah123.com/properti/yogyakarta/hos17161713/
800.0,120,80,3,2,1,Ngemplak,Sleman,Rumah Siap Huni Di Utara Sd Model Wedomartani Ngemplak Sleman,https://www.rumah123.com/properti/sleman/hos17161710/
884.0,104,60,4,2,2,Maguwoharjo,Yogyakarta,Rumah Siap Huni Utara Maguwoharjo Dekat Budi Mulia 2,https://www.rumah123.com/properti/yogyakarta/hos17161705/
1250.0,125,150,2,2,2,Ngaglik,Sleman,Rumah baru Furnished Jl. Kaliurang Km 13,https://www.rumah123.com/properti/sleman/hos17161664/
500.0,80,55,2,2,1,Ngemplak,Sleman,Rumah Minimalis Dekat Maguwoharjo Sd Budi Mulia Sleman Yogyakarta,https://www.rumah123.com/properti/sleman/hos17161656/
500.0,108,70,3,2,1,Kalasan,Sleman,Rumah Baru Jogja Di Selomartani Kalasan Sleman Dekat Smp 2 Kalasan,https://www.rumah123.com/properti/sleman/hos17161655/
690.0,87,45,2,1,1,Seturan,Yogyakarta,Rumah Minimalis Dalam Perumahan Muslim Dekat Amikom Seturan Depok Sleman,https://www.rumah123.com/properti/yogyakarta/hos17161588/
875.0,112,95,3,2,2,Maguwoharjo,Yogyakarta,Rumah Baru Siap Huni Dekat Jalan Tajem Maguwoharjo Depok Sleman,https://www.rumah123.com/properti/yogyakarta/hos17161583/
